# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.2-SNAPSHOT

admin._ocanada_, boolean, 00
items::3, itemstack, 810576616C756520810576616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F53574F52440A202064616D6167653A20340A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020646973706C61792D6E616D653A20C2A736496C6C7573696F6E53390A20202020656E6368616E74733A0A20202020202044414D4147455F414C4C3A20390A2020202020204455524142494C4954593A20350A202020202020464952455F4153504543543A20330A2020202020204C4F4F545F424F4E55535F4D4F42533A20330A
items::4, itemstack, 810576616C75652080C776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F424F4F54530A202064616D6167653A203337310A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A20202020202050524F54454354494F4E5F454E5649524F4E4D454E54414C3A20330A2020202020204455524142494C4954593A20330A
items::5, itemstack, 810576616C75652080C476616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F53574F52440A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A20202020202044414D4147455F414C4C3A20350A2020202020204C4F4F545F424F4E55535F4D4F42533A20320A2020202020204455524142494C4954593A20330A
items::6, itemstack, 810576616C75652080C376616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F4158450A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A2020202020204449475F53504545443A20320A2020202020204455524142494C4954593A20330A2020202020204C4F4F545F424F4E55535F424C4F434B533A20320A
items::7, itemstack, 810576616C756520804A76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20504F54494F4E0A202064616D6167653A20383232360A
items::8, itemstack, 810576616C75652080CC76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F4348455354504C4154450A202064616D6167653A203335360A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A20202020202050524F54454354494F4E5F454E5649524F4E4D454E54414C3A20330A2020202020204455524142494C4954593A20330A
items::9, itemstack, 810576616C75652080C876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F48454C4D45540A202064616D6167653A203336320A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A20202020202050524F54454354494F4E5F454E5649524F4E4D454E54414C3A20330A2020202020204455524142494C4954593A20330A
items::10, itemstack, 810576616C75652080C776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F5049434B4158450A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A2020202020204449475F53504545443A20350A2020202020204455524142494C4954593A20330A2020202020204C4F4F545F424F4E55535F424C4F434B533A20330A
items::11, itemstack, 810576616C75652080F176616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F4348455354504C4154450A202064616D6167653A203438390A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020646973706C61792D6E616D653A20C2A733506569746F72616C20446976696E6F0A20202020656E6368616E74733A0A20202020202050524F54454354494F4E5F454E5649524F4E4D454E54414C3A20360A2020202020204455524142494C4954593A20330A
items::12, itemstack, 810576616C75652080C376616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F4158450A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A2020202020204449475F53504545443A20350A2020202020204455524142494C4954593A20330A2020202020204C4F4F545F424F4E55535F424C4F434B533A20330A
items::13, itemstack, 810576616C756520804076616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20434F42424C4553544F4E450A
items::14, itemstack, 810576616C75652080CA76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F4C454747494E47530A202064616D6167653A203335310A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A20202020202050524F54454354494F4E5F454E5649524F4E4D454E54414C3A20330A2020202020204455524142494C4954593A20330A
items::15, itemstack, 810576616C756520804776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204152524F570A2020616D6F756E743A2036340A
items::16, itemstack, 810576616C75652080A376616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20424F570A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A2020202020204152524F575F44414D4147453A20330A2020202020204455524142494C4954593A20330A
items::17, itemstack, 810576616C756520803C76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20424152524945520A
items::18, itemstack, 810576616C756520804A76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20504F54494F4E0A202064616D6167653A20383233330A
items::19, itemstack, 810576616C756520809776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F53574F52440A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A20202020202044414D4147455F414C4C3A20330A
items::20, itemstack, 810576616C756520811776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20574F4F4C0A202064616D6167653A2031340A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020646973706C61792D6E616D653A20C2A76343616E63656C61720A202020206C6F72653A0A202020202D20C2A73743616E63656C61722061206F70657261C3A7C3A36F2065207265636562657220736575730A202020202D20C2A7376974656E73206E6F76616D656E74652E0A202020202D20C2A7610A202020202D20C2A763436C69717565206171756920706172612063616E63656C61722E0A
items::20, null, 
items::20, itemstack, 810576616C756520811476616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20574F4F4C0A202064616D6167653A20350A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020646973706C61792D6E616D653A20C2A761436F6E6669726D61720A202020206C6F72653A0A202020202D20C2A737446573656A61206A6F676172206E61206C697865697261206F73206974656D730A202020202D20C2A73771756520657374C3A36F20617175693F0A202020202D20C2A7610A202020202D20C2A761436C697175652061717569207061726120636F6E6669726D61722E0A
items::20, null, 
items::*, null, 
items::1, itemstack, 810576616C75652085C376616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20534B554C4C5F4954454D0A202064616D6167653A20330A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20534B554C4C0A20202020696E7465726E616C3A20483473494141414141414141414656517961366A5668536B57346E302B696D666B5A3331354D734D69313477447A5A6741776244706E555A7A447A5954495A7636552F49523862396B6B57794B716E4F71547031366831423370452F6E47717136394F6A757856312B6F5A3831524C6B547A4B4A634A77463941644B304E45485153547767365678386750514355737A4F415A766366794F764C394566666F59693354346872794E36584F6348756E776A6944496C7A666B6D314E6B4C667A46665030725253312F504A77683359316D624B597A73307A61673433306F54465A6862347A66587935614A7361575664355055594F376B6C745753584B7A4B62327674646C537064716662476A6C49494133643867757530475959367A4945656C4C716E357672574B64484657567A3364626F61436966313044492B6538687846572B44392B3231696D525744426A6569336B3142462F334D436E63676C4A58425653642B54344B5A5671646C662B4B566E455274745778617974306C4561754B636E536352305A6E2B646C4D442F6C5269484F444656505675562F436A53444652393346656749333258666D63726167747777484C3162735A5773504D33353955493571637A3066434C463373366D67347772487947395A637839414D6A747A62616D614C79533979764D3555324F6F7043514C5756776F3930787A6433715351394D585A587245737A6A5948336D3978726539766D7168495357366E5141755563724E72574C354250764B53592F6A616658796943697767463948386D6B7537503542694770385A6A5032326B394170432B554B6F75397677504545394F48586156475969695A50484F774337717976516C6670564D726D533632347179394F3153654D61656472357944565A4D4F473167646E4A75486B6A674F4D432B46496F43774A45394D4A322B3870626C6E42634D5362447A5142324534795061543276634C59386E37544A55664958386D6C436E52552B2F5250652F556779644548584A335663544C7142776434744A684F39386F33644678743346326A6D5A30466E46636878307A737349704C414B51785A3536383865624C63384470487747694631454B55514D654C6444313132476A5469524E724E72634F462B54586443373765726E6930346C354673617A6B46344B34342F325356656E314D697450726A636C734F39626B70575248734170664E48696D6E5252474D6348334E2B523344395A542B75566E756E535A4A7567412B6D67643433596558626C434537764D63432B6B4951614C4A584B6F3651616F345377485465434B574E586E734B6D4838464A58577346526D7143686F614A74786C59743569594245394F41716469353563616236584A344B4661344A5270723449666C712B4A424B4C684D612F6B317773492B556A7772654E33397830652F5263444D6F306175416F38706A74786E7267333679525263625452755043653879696938366E556F614A6C56384342757666726650524265633543385A7648364F614D2F37377A795873436F7538582F75462F374C372F6C38302B7465656C556A6A717537483838794248365A4233676568363235796C715048444537547056662B57347A4A5A76353445626F3645724151505463464F526947414C532B7546686D38516F58384251536D58707075526F534939417A6376544448656769306D413139756A433137395A5655707368746C714C68527650534F7472684D35734B5873697A5167752B493867623870734A6D78543539714D54594173542B414E422F67627644514A553041514141413D3D0A20202020736B756C6C2D6F776E65723A205F6F43616E6164615F0A
items::2, itemstack, 810576616C75652080C476616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F53574F52440A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A20202020202044414D4147455F414C4C3A20350A2020202020204C4F4F545F424F4E55535F4D4F42533A20320A2020202020204455524142494C4954593A20330A
items::3, itemstack, 810576616C75652085C476616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20534B554C4C5F4954454D0A202064616D6167653A20330A2020616D6F756E743A20330A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20534B554C4C0A20202020696E7465726E616C3A20483473494141414141414141414656533261366A5668426B526F6C30357971666B54667279757947687A79776D4D31774D4475634E3359776D386473686D2F4A4A2B516A34376D54534D6C54533933565664576C666B6551642B513370356E6239766F596972724E33354376616F6238547242465842544536594F6C616653447A44486D6779475937434E4F5578544E55547A4C59756F646558387433665048564F666A4E2B527479702F542F4D6A48647752427672776833357936374F4D666E61392F755251766C624771594A6437647474577864546B344D484A784B4E6236664A4572597656485A524F46787958723251764F7651366D374C44316135415653657457314C6A32436369543256484D6132582B2F596B5057566E396677616946676C75714E666C4A5A4E786A746E7077496646506F4239506E38596B44486B43306136637941374D41767173456258736F6C4F4C4164686763594A2B3748316941566447776930727036354E4549424341586863576D362F665674706A762F53497434683735416C6836657A427A576E4C6946497579716D6156557A3274784F56435149785256616E7875585A4C7777664A587445397942687873336163546B74363139766A31546E51436E584564584D6556564649786F62745469664C3638364D6249656275562B67322F6A5A45543966682B33734366316C61567A543253735234302B566D69375078537A363444456371626B6770734E7765484B6C356F2B5A69306F6F50424832624D6C724F4B7956525568575945363474692F5052367A4C5154766C46434F3767395859657A676B6A7A5751687431636A554E6A50504C547937664C6E41734632356C477043357971457563664D5769346544492F544E726D5A624F4D44795246505A6B446D32326E77547349664F41326B747853757A54593834757A6F4761673876496D7467544A4C7447397850717872514778736C77476C496139795257524C6C387A6E6D4A61663452776A433970476143613162504B624F72652B4E775034664F6B53523850377172413632446A4F527075703470504F6E373062344B536B61577148672B62727951754263643077665A4C5A4A4A54417944574261584B747A6C757749336145387271702F6C71756D7659527968627064305159364B6E534931677449416C574C73756163415A32674C775A4F69473636747246594436696953667A5331707A586D45666648472F4B724837647A2F7558506642314B566444514F4D44616C4C43724A4F52715652784B772F556F51347857734A653436545962714E654C4B6E4231716D674C374E6F52656D326A31687974437570754272434358625344766348426A554F6865795A4E305343684C4E32696E56756879323151666A32366F3435437A5A56717A32384A44752B4A374A7652532F636E6A365A6B515774466F583150756D70522F395844327A37704A44514C746462722F4F634C733848412B7653594B526F476E5A2B345450624A545045334742716673353933766252616F4473652B662F654433796F6A662F6F44706C697232624E4C502F686D4A4F676E57454174696941714E3552625361774B41797254783836376A316676377762743351446533737A52507347526275426759704330554B423632325271324C474C61734D743672417A714767387A625435572F675A754652427876546A63685859713938594164456A7A54777150374D5275445A48375777376979437643472F674C6A4C6B58643572712F78565066566743422F41352F674D665852424141410A20202020736B756C6C2D6F776E65723A20477569506174696E686F0A
items::4, itemstack, 810576616C75652080C376616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F4158450A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A2020202020204449475F53504545443A20320A2020202020204455524142494C4954593A20330A2020202020204C4F4F545F424F4E55535F424C4F434B533A20320A
items::5, itemstack, 810576616C756520804776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204152524F570A2020616D6F756E743A2036340A
items::6, itemstack, 810576616C756520804A76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20504F54494F4E0A202064616D6167653A20383232360A
items::7, itemstack, 810576616C75652080CC76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F4348455354504C4154450A202064616D6167653A203335360A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A20202020202050524F54454354494F4E5F454E5649524F4E4D454E54414C3A20330A2020202020204455524142494C4954593A20330A
items::8, itemstack, 810576616C75652080C876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F48454C4D45540A202064616D6167653A203336320A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A20202020202050524F54454354494F4E5F454E5649524F4E4D454E54414C3A20330A2020202020204455524142494C4954593A20330A
items::9, itemstack, 810576616C75652080C776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F5049434B4158450A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A2020202020204449475F53504545443A20350A2020202020204455524142494C4954593A20330A2020202020204C4F4F545F424F4E55535F424C4F434B533A20330A
items::10, itemstack, 810576616C756520804A76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20504F54494F4E0A202064616D6167653A20383233330A
items::11, itemstack, 810576616C756520803C76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20424152524945520A
items::12, itemstack, 810576616C75652080A376616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20424F570A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A2020202020204152524F575F44414D4147453A20330A2020202020204455524142494C4954593A20330A
items::13, itemstack, 810576616C756520805A76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20474F4C44454E5F4150504C450A202064616D6167653A20310A2020616D6F756E743A2036340A
items::14, itemstack, 810576616C75652080CA76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F4C454747494E47530A202064616D6167653A203335310A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A20202020202050524F54454354494F4E5F454E5649524F4E4D454E54414C3A20330A2020202020204455524142494C4954593A20330A
items::15, itemstack, 810576616C75652080C376616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F4158450A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A2020202020204449475F53504545443A20350A2020202020204455524142494C4954593A20330A2020202020204C4F4F545F424F4E55535F424C4F434B533A20330A
items::16, itemstack, 810576616C75652080F176616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F4348455354504C4154450A202064616D6167653A203438390A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020646973706C61792D6E616D653A20C2A733506569746F72616C20446976696E6F0A20202020656E6368616E74733A0A20202020202050524F54454354494F4E5F454E5649524F4E4D454E54414C3A20360A2020202020204455524142494C4954593A20330A
items::17, itemstack, 810576616C756520804776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204152524F570A2020616D6F756E743A2036340A
items::18, itemstack, 810576616C756520804076616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20434F42424C4553544F4E450A
items::19, itemstack, 810576616C75652080BA76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F48454C4D45540A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A20202020202050524F54454354494F4E5F454E5649524F4E4D454E54414C3A20350A2020202020204455524142494C4954593A20330A
